Contest Title,Party,Candidate,ABERNANT BAPT CH,ABSENTEE,ALBERTA BAPT CH,BELK ACTIVITY CTR,BIG SANDY BAPT,BOBBY MILLER ACTIVITY,BUHL VFD STATION,CARROLLS CRK BAPT CH,CH OF THE HIGHLANDS,CHAPEL HILL BAPT,COALING TOWN HALL,COKER FIRE DEPT,COMM CH COTTONDALE,CORNERSTONE BAPT CH,COTTONDALE METHODIST CH,COUNTY CTHS ANNEX,COUNTY RD CAMP #3,DUNCANVILLE MIDDLE SCH,ECHOLA FIRE DEPT,ELROD VFD STATION,FAUCETT VESTAVIA HILLS ELEM,FLATWOODS BAPT CH,FOREST LAKE METHODIST,FOSTERS FIRE DEPT,G_G_ HARDIN COMM CTR,GRACE PRES_ CHURCH,HAGLER COMM CTR,KELLERMAN ANTIOCH BAPT,LAKEVIEW BAPT CH,MARY PHELPS CTR,MAYFIELD FIRE DEPT,MCABEE CTR,MCDONALD HUGHES COMM,MONTGOMERY FIRE DEPT,MT OLIVE BAPT CH,NEW LIFE BAPT CH,NEW ZION MISSIONARY CH,NORTHPORT CITY HALL,NORTHPORT COMM CTR,NORTHSIDE LIONS CLUB,PETERSON COMM CH,PROVISIONAL,ROMULUS FIRE DEPT_,SHERIFF FIRING RANGE,SOMA CH,STATION #2 CARROLLS CRK,STILLMAN COLLEGE,TANNEHILL VALLEY BAPT,U OF A STUDENT REC CTR,UNITY BAPT CH,UNIVERSITY MALL,VANCE TOWN HALL,WESLEY CHAPEL METHODIST CH,WHITSON PLACE CH,WINDHAM SPRINGS BAPT CH,YELLOW CRK BAPT CH
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",REP,Mark C. Nelson                        ,,1524,723.0,1602.0,1828.0,3397.0,,,,,,,,,,,,1474.0,,,,,423.0,,,,215.0,,,,,814.0,,,,,,,,,,58,,,,,,,426.0,,916.0,,,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",NON,Write-In                              ,,169,44.0,321.0,86.0,211.0,,,,,,,,,,,,35.0,,,,,25.0,,,,3.0,,,,,62.0,,,,,,,,,,5,,,,,,,23.0,,56.0,,,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",   ,Over Votes                            ,,0,0.0,2.0,0.0,1.0,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,0,,,,,,,0.0,,0.0,,,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 3    ",   ,Under Votes                           ,,2541,471.0,1233.0,890.0,1729.0,,,,,,,,,,,,314.0,,,,,208.0,,,,23.0,,,,,613.0,,,,,,,,,,38,,,,,,,148.0,,529.0,,,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 4    ",DEM,Reginald Murray                       ,,2409,,354.0,,,114.0,,,,,200.0,,682.0,,133.0,,,,69.0,,,,500.0,,1149.0,,,,,,,1018.0,,,924.0,517.0,,938.0,,,33,118.0,,,,1252.0,,,292.0,,,284.0,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 4    ",NON,Write-In                              ,,267,,133.0,,,32.0,,,,,47.0,,161.0,,15.0,,,,15.0,,,,111.0,,601.0,,,,,,,620.0,,,500.0,93.0,,141.0,,,9,19.0,,,,731.0,,,74.0,,,59.0,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 4    ",   ,Over Votes                            ,,2,,8.0,,,0.0,,,,,0.0,,0.0,,1.0,,,,0.0,,,,0.0,,3.0,,,,,,,0.0,,,0.0,0.0,,1.0,,,0,0.0,,,,8.0,,,0.0,,,0.0,,,
"MEMBER, TUSCALOOSA COUNTY COMMISSION, DISTRICT NO. 4    ",   ,Under Votes                           ,,362,,47.0,,,278.0,,,,,490.0,,67.0,,65.0,,,,197.0,,,,451.0,,330.0,,,,,,,45.0,,,217.0,151.0,,617.0,,,7,191.0,,,,80.0,,,56.0,,,325.0,,,
MEMBER TUSCALOOSA COUNTY BOARD OF EDUCATION DISTRICT 2  ,REP,Jamie Lake                            ,,574,,,,,,2495.0,16.0,,,,,,,,177.0,,,,1648.0,,,,,,,,,98.0,,,,,,,119.0,,,,,21,,15.0,,965.0,,,,,,,,38.0,216.0,541.0
MEMBER TUSCALOOSA COUNTY BOARD OF EDUCATION DISTRICT 2  ,NON,Write-In                              ,,18,,,,,,18.0,5.0,,,,,,,,0.0,,,,37.0,,,,,,,,,3.0,,,,,,,2.0,,,,,1,,0.0,,9.0,,,,,,,,0.0,0.0,0.0
MEMBER TUSCALOOSA COUNTY BOARD OF EDUCATION DISTRICT 2  ,   ,Over Votes                            ,,0,,,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,0,,0.0,,0.0,,,,,,,,0.0,0.0,0.0
MEMBER TUSCALOOSA COUNTY BOARD OF EDUCATION DISTRICT 2  ,   ,Under Votes                           ,,389,,,,,,249.0,21.0,,,,,,,,18.0,,,,424.0,,,,,,,,,57.0,,,,,,,26.0,,,,,5,,0.0,,130.0,,,,,,,,3.0,18.0,46.0
MEMBER TUSCALOOSA COUNTY BOARD OF EDUCATION DISTRICT 4  ,REP,Don Presley                           ,,272,,,,,396.0,,,159.0,,663.0,,,,,,,279.0,253.0,,952.0,,732.0,,,,,,,98.0,,,303.0,1125.0,,,,225.0,,,12,276.0,,,,,,,,,,481.0,,,
MEMBER TUSCALOOSA COUNTY BOARD OF EDUCATION DISTRICT 4  ,NON,Write-In                              ,,10,,,,,4.0,,,2.0,,2.0,,,,,,,0.0,2.0,,21.0,,12.0,,,,,,,0.0,,,0.0,9.0,,,,13.0,,,0,4.0,,,,,,,,,,11.0,,,
MEMBER TUSCALOOSA COUNTY BOARD OF EDUCATION DISTRICT 4  ,   ,Over Votes                            ,,0,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,0,0.0,,,,,,,,,,0.0,,,
MEMBER TUSCALOOSA COUNTY BOARD OF EDUCATION DISTRICT 4  ,   ,Under Votes                           ,,261,,,,,24.0,,,15.0,,72.0,,,,,,,38.0,26.0,,323.0,,318.0,,,,,,,13.0,,,22.0,150.0,,,,165.0,,,6,48.0,,,,,,,,,,176.0,,,
